county,state,month,year,species ,water depth (cm),Leaf height (cm),"Leaf Weight, g dry weight",Leaf height/weight (cm/g),"Leaf surface area, cm^2/cm height","Leaf surface area, cm^2/g dry weight",source
Kalamazoo County,Michigan,August,1979,Typha latifolia,-15,152,27.1,5.6,7.3,40.9,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo County,Michigan,August,1979,Typha latifolia,15,173,26.7,6.5,8.5,56.1,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo County,Michigan,August,1979,Typha latifolia,50,193,34.1,5.6,9.3,52.1,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo County,Michigan,August,1979,Typha latifolia,80,0,0,0,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo County,Michigan,August,1979,Typha latifolia,100,0,0,0,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo County,Michigan,August,1979,Typha angustifolia,-15,0,0,0,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo County,Michigan,August,1979,Typha angustifolia,15,0,0,0,0,0,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo County,Michigan,August,1979,Typha angustifolia,50,251,25.9,7.4,3.8,28.1,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo County,Michigan,August,1979,Typha angustifolia,80,268,27.5,9.7,4.3,41.7,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
Kalamazoo County,Michigan,August,1979,Typha angustifolia,100,257,30.3,8.5,4,34,"Grace, James & Wetzel, Robert. (1982). Niche differentiation between two rhizomatous plant species: Typha latifolia and Typha angustifolia. Canadian Journal of Botany. 60. 46-57. 10.1139/b82-007. "
