location (city),location (country),species,Date (Seed Harvest Month),temperature_type,Days after harvesting ,culture_duration_day,low_temperature_C,high_temperature_C,temperature_range_c,germination_perc,note,source
Tirrenia,Italy,typha latifolia,October,constant,30,3,10,10,0,0,,"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,30,10,10,10,0,0,,"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,30,3,20,20,0,3,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,30,10,20,20,0,5,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,30,3,30,30,0,0,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,30,10,30,30,0,0,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,100,3,20,20,0,2.5,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,100,10,20,20,0,12,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,100,3,30,30,0,2.5,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,100,10,30,30,0,7,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,205,3,20,20,0,1,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,205,10,20,20,0,19,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,205,3,30,30,0,14.5,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,205,10,30,30,0,32,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,360,3,20,20,0,0,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,360,10,20,20,0,4,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,360,3,30,30,0,7,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,constant,360,10,30,30,0,18,no germination at 10 (°C),"Lombardi, Tiziana & Fochetti, Tiziana & Bertacchi, Andrea & Onnis, Antonino. (1997). Germination requirements in a population of Typha latifolia. Aquatic Botany. 56. 1-10. 10.1016/S0304-3770(96)01096-0. "
Tirrenia,Italy,typha latifolia,October,variable,180,10,10,20,10,95,we used results from fig 3 and the 0M salinity because its freshwater,
Tirrenia,Italy,typha latifolia,October,variable,180,10,20,30,10,100,we used results from fig 3 and the 0M salinity because its freshwater,
Tirrenia,Italy,typha latifolia,October,variable,180,10,10,30,20,100,we used results from fig 3 and the 0M salinity because its freshwater,
